Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
1,NOP,Zion Williamson,Duke,5,214,6714,5279,1415,920,.589,.327,.689,31.4,24.7,6.6,4.3,24.2,.173,4.9,11.8,2019
2,MEM,Ja Morant,Murray State,6,307,9801,6942,1448,2267,.469,.316,.766,31.9,22.6,4.7,7.4,24.1,.118,2.7,11.8,2019
3,NYK,RJ Barrett,Duke,6,387,12814,7293,2150,1276,.441,.346,.697,33.1,18.8,5.6,3.3,13.3,.050,-1.7,0.9,2019
4,LAL,De'Andre Hunter,Virginia,6,327,9820,4839,1336,497,.452,.373,.819,30.0,14.8,4.1,1.5,12.1,.059,-2.6,-1.5,2019
5,CLE,Darius Garland,Vanderbilt,6,382,12693,7204,1015,2558,.453,.388,.867,33.2,18.9,2.7,6.7,24.6,.093,0.3,7.3,2019
6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-.001,-4.5,-1.6,2019
7,CHI,Coby White,UNC,6,422,12566,6405,1539,1618,.433,.369,.865,29.8,15.2,3.6,3.8,17.9,.069,-1.5,1.5,2019
8,ATL,Jaxson Hayes,Texas,6,367,6022,2494,1443,259,.649,.261,.696,16.4,6.8,3.9,0.7,20.1,.160,-0.4,2.5,2019
9,WAS,Rui Hachimura,Gonzaga,6,337,9345,4318,1638,439,.496,.381,.764,27.7,12.8,4.9,1.3,15.6,.080,-1.9,0.2,2019
10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,.398,.322,.821,23.1,8.5,2.7,1.2,3.3,.027,-3.1,-1.7,2019
11,MIN,Cameron Johnson,UNC,6,340,9020,4395,1342,664,.453,.392,.851,26.5,12.9,3.9,2.0,22.9,.122,1.6,8.2,2019
12,CHO,P.J. Washington,Kentucky,6,390,11917,5121,2282,878,.448,.358,.709,30.6,13.1,5.9,2.3,14.8,.060,-1.2,2.4,2019
13,MIA,Tyler Herro,Kentucky,6,361,11763,6987,1802,1460,.448,.382,.874,32.6,19.4,5.0,4.0,19.9,.081,0.7,8.0,2019
14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8,2019
16,ORL,Chuma Okeke,Auburn,5,198,4028,1242,751,291,.387,.321,.787,20.3,6.3,3.8,1.5,5.0,.060,-1.1,1.0,2019
17,BRK,Nickeil Alexander-Walker,Virginia Tech,6,381,7942,3258,948,882,.414,.360,.743,20.8,8.6,2.5,2.3,10.2,.062,-1.2,1.6,2019
20,BOS,Matisse Thybulle,Washington,6,347,7269,1698,710,388,.438,.343,.661,20.9,4.9,2.0,1.1,14.1,.093,0.9,5.3,2019
21,OKC,Brandon Clarke,Gonzaga,6,307,6392,3136,1683,409,.606,.266,.698,20.8,10.2,5.5,1.3,24.6,.185,2.4,7.1,2019
22,BOS,Grant Williams,Tennessee,6,380,8710,2724,1393,552,.452,.377,.774,22.9,7.2,3.7,1.5,15.5,.085,-1.9,0.3,2019
24,PHI,Ty Jerome,Virginia,6,229,4140,1986,467,648,.458,.381,.850,18.1,8.7,2.0,2.8,9.9,.114,0.4,2.5,2019
25,POR,Nassir Little,UNC,5,237,3735,1313,688,170,.452,.330,.735,15.8,5.5,2.9,0.7,4.7,.061,-2.6,-0.5,2019
26,CLE,Dylan Windler,Belmont,4,101,1090,319,212,78,.425,.347,.800,10.8,3.2,2.1,0.8,1.6,.072,-1.4,0.2,2019
27,BRK,Mfiondu Kabengele,Florida State,3,55,380,143,81,19,.383,.301,.852,6.9,2.6,1.5,0.3,0.4,.055,-3.6,-0.2,2019
28,GSW,Jordan Poole,Michigan,6,412,11350,6942,1110,1552,.422,.345,.879,27.5,16.8,2.7,3.8,11.3,.048,-1.7,0.8,2019
29,SAS,Keldon Johnson,Kentucky,6,370,10600,5761,1992,797,.467,.352,.762,28.6,15.6,5.4,2.2,16.7,.076,-1.3,1.8,2019
30,MIL,Kevin Porter Jr.,USC,5,271,7410,3779,1120,1243,.435,.351,.734,27.3,13.9,4.1,4.6,6.2,.040,-1.4,1.2,2019
1,MIN,Anthony Edwards,Georgia,5,381,13263,9097,2017,1600,.446,.364,.804,34.8,23.9,5.3,4.2,24.8,.090,1.7,12.3,2020
2,GSW,James Wiseman,Memphis,4,148,2799,1350,830,110,.560,.262,.683,18.9,9.1,5.6,0.7,4.3,.074,-3.9,-1.4,2020
4,CHI,Patrick Williams,Florida State,5,276,7478,2636,1126,404,.452,.392,.769,27.1,9.6,4.1,1.5,8.4,.054,-2.3,-0.5,2020
5,CLE,Isaac Okoro,Auburn,5,334,8746,2708,930,536,.467,.351,.731,26.2,8.1,2.8,1.6,16.0,.088,-2.0,0.0,2020
6,ATL,Onyeka Okongwu,USC,5,307,6911,2960,2058,394,.614,.322,.755,22.5,9.6,6.7,1.3,24.9,.173,0.5,4.4,2020
8,NYK,Obi Toppin,Dayton,5,362,6238,3074,1231,428,.523,.355,.771,17.2,8.5,3.4,1.2,16.6,.128,1.1,4.8,2020
10,PHO,Jalen Smith,Maryland,5,271,4368,2290,1432,222,.505,.332,.754,16.1,8.5,5.3,0.8,12.0,.132,-0.2,2.0,2020
11,SAS,Devin Vassell,Florida State,5,303,8402,4280,1144,788,.444,.369,.806,27.7,14.1,3.8,2.6,11.9,.068,-0.5,3.1,2020
12,SAC,Tyrese Haliburton,Iowa State,5,333,10998,5842,1218,2947,.477,.392,.855,33.0,17.5,3.7,8.8,37.6,.164,4.8,18.9,2020
13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6,2020
14,BOS,Aaron Nesmith,Vanderbilt,5,288,6177,2570,946,305,.463,.385,.828,21.4,8.9,3.3,1.1,10.5,.082,-1.9,0.2,2020
15,ORL,Cole Anthony,UNC,5,320,7935,4015,1372,1223,.419,.345,.847,24.8,12.5,4.3,3.8,11.0,.066,-0.6,2.9,2020
16,POR,Isaiah Stewart,Washington,5,307,7542,2631,2177,407,.507,.345,.733,24.6,8.6,7.1,1.3,15.4,.098,-1.7,0.5,2020
18,DAL,Josh Green,Arizona,5,291,6415,1941,777,448,.482,.380,.687,22.0,6.7,2.7,1.5,9.2,.069,-2.9,-1.5,2020
19,BRK,Saddiq Bey,Villanova,4,292,8804,4103,1532,538,.408,.352,.842,30.2,14.1,5.2,1.8,14.6,.079,-0.7,2.9,2020
20,MIA,Precious Achiuwa,Memphis,5,320,6396,2420,1813,313,.484,.304,.606,20.0,7.6,5.7,1.0,11.8,.089,-2.3,-0.4,2020
21,PHI,Tyrese Maxey,Kentucky,5,318,10187,6202,952,1403,.461,.381,.866,32.0,19.5,3.0,4.4,26.5,.125,1.3,8.6,2020
22,DEN,Zeke Nnaji,Arizona,5,251,3007,1053,566,100,.509,.362,.653,12.0,4.2,2.3,0.4,6.7,.107,-2.6,-0.4,2020
25,OKC,Immanuel Quickley,Kentucky,5,324,8292,4542,1097,1203,.421,.375,.858,25.6,14.0,3.4,3.7,21.3,.124,1.2,6.7,2020
26,BOS,Payton Pritchard,Oregon,5,347,7008,3153,952,883,.454,.399,.856,20.2,9.1,2.7,2.5,20.9,.143,1.2,5.8,2020
28,LAL,Jaden McDaniels,Washington,5,366,10449,3784,1526,562,.482,.348,.752,28.5,10.3,4.2,1.5,17.9,.082,-1.8,0.5,2020
29,TOR,Malachi Flynn,San Diego State,5,217,3076,1184,376,414,.387,.333,.747,14.2,5.5,1.7,1.9,2.9,.045,-2.6,-0.5,2020
30,BOS,Desmond Bane,TCU,5,313,9274,5580,1438,1179,.472,.410,.883,29.6,17.8,4.6,3.8,25.5,.132,2.4,10.4,2020
1,DET,Cade Cunningham,Oklahoma State,4,208,7014,4588,1121,1530,.446,.339,.853,33.7,22.1,5.4,7.4,7.0,.048,1.0,5.2,2021
3,CLE,Evan Mobley,USC,4,269,8745,4412,2408,784,.548,.315,.694,32.5,16.4,9.0,2.9,28.3,.155,2.3,9.5,2021
4,TOR,Scottie Barnes,Florida State,4,276,9523,4756,2065,1368,.466,.300,.761,34.5,17.2,7.5,5.0,19.4,.098,1.7,8.9,2021
5,ORL,Jalen Suggs,Gonzaga,4,211,5580,2598,702,698,.419,.329,.779,26.4,12.3,3.3,3.3,5.6,.048,-1.1,1.3,2021
8,ORL,Franz Wagner,Michigan,4,291,9398,5552,1408,1067,.474,.322,.856,32.3,19.1,4.8,3.7,21.4,.109,0.8,6.6,2021
9,SAC,Davion Mitchell,Baylor,4,301,6651,2278,533,995,.442,.344,.698,22.1,7.6,1.8,3.3,6.0,.043,-3.1,-1.9,2021
10,NOP,Ziaire Williams,Stanford,4,213,4486,1763,675,259,.421,.316,.811,21.1,8.3,3.2,1.2,4.7,.050,-3.4,-1.6,2021
11,CHO,James Bouknight,UConn,3,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-.017,-5.9,-0.9,2021
12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.3,-.011,-5.3,-0.9,2021
13,IND,Chris Duarte,Oregon,4,177,3231,1348,467,231,.406,.349,.813,18.3,7.6,2.6,1.3,1.9,.028,-3.0,-0.8,2021
14,GSW,Moses Moody,Arkansas,4,255,4229,1787,570,227,.449,.367,.775,16.6,7.0,2.2,0.9,8.5,.097,-1.2,0.8,2021
15,WAS,Corey Kispert,Gonzaga,4,292,7563,3229,822,431,.474,.382,.805,25.9,11.1,2.8,1.5,9.3,.059,-2.3,-0.6,2021
17,MEM,Trey Murphy III,Virginia,4,251,6856,3448,976,462,.454,.383,.875,27.3,13.7,3.9,1.8,18.4,.129,1.3,5.7,2021
18,OKC,Tre Mann,Florida,4,181,3856,1707,513,415,.411,.350,.788,21.3,9.4,2.8,2.3,1.9,.024,-3.3,-1.2,2021
19,NYK,Kai Jones,Texas,3,107,1081,377,259,44,.671,.231,.682,10.1,3.5,2.4,0.4,2.8,.126,-1.2,0.2,2021
20,ATL,Jalen Johnson,Duke,4,184,4335,2023,1155,470,.504,.323,.712,23.6,11.0,6.3,2.6,8.4,.093,1.0,3.3,2021
21,NYK,Keon Johnson,Tennessee,4,161,3098,1326,429,313,.379,.324,.765,19.2,8.2,2.7,1.9,-0.3,-.005,-4.2,-1.7,2021
