Player,Draft_Year,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,USG%,VORP,WS,WS/48,eFG%
Andrew Toney,1980,438.0,0.515,848.5,17.0,0.367,44.0,0.048,278.0,22.75,13.5,0.4,-2.2,-2.1500000000000004,101.0,5.75,1.9500000000000002,455.0,0.5085,892.5,194.0,0.727,266.0,0.2965,76.0,1838.5,0.0,37.5,2.4000000000000004,1.15,14.95,251.5,1121.0,61.5,1.55,216.5,17.8,138.5,4.2,0.5535,27.35,-0.04999999999999999,3.1,0.0805,0.518
Kelvin Ransey,1980,511.5,0.46799999999999997,1094.0,3.0,0.088,34.5,0.031,555.0,31.9,6.5,0.15000000000000002,-2.3,-2.45,150.0,6.800000000000001,1.55,514.5,0.456,1128.5,203.0,0.755,268.5,0.239,79.0,2424.5,0.15,40.5,1.85,1.75,15.7,185.0,1235.0,92.5,1.7999999999999998,230.5,15.6,190.5,4.35,0.4955,24.6,-0.2,3.25,0.0645,0.4575
Mike Woodson,1980,613.0,0.958,1228.0,7.5,0.386,27.5,0.0375,259.5,27.750000000000004,41.0,1.65,-1.2000000000000002,-1.1,177.0,14.35,2.9,620.5,0.9465,1255.5,245.5,1.5190000000000001,318.0,0.5825,123.5,2805.5,-0.050000000000000044,118.5,8.65,3.2,30.7,267.5,1494.0,160.0,4.9,180.0,22.349999999999998,295.5,11.4,1.0375,45.85,1.9999999999999998,6.15,0.19999999999999998,0.9515
Don Collins,1980,526.5,0.9355,1125.5,0.5,0.0415,12.0,0.020999999999999998,264.0,30.75,37.0,1.65,0.95,1.1,186.5,15.700000000000001,3.2,527.0,0.9259999999999999,1137.5,271.5,1.5055,356.5,0.6455,120.5,2649.5,-0.20000000000000004,179.5,14.6,1.05,29.1,356.5,1326.0,148.5,5.35,241.5,31.75,366.0,15.15,1.0230000000000001,47.95,1.7,4.3,0.15150000000000002,0.9265
Mike O'Koren,1980,367.5,0.494,744.0,6.5,0.313,20.5,0.027,222.0,13.85,20.0,0.5,0.35,0.6499999999999999,246.5,12.5,2.4,374.0,0.489,764.5,135.0,0.6755,200.5,0.26249999999999996,79.5,2245.5,-0.25,145.0,7.05,1.65,13.1,209.0,889.5,84.5,1.75,146.5,14.649999999999999,391.5,9.7,0.5215000000000001,17.85,1.35,3.9499999999999997,0.0865,0.493
Sam Worthen,1980,48.5,0.4525,96.5,0.0,0.0,2.0,0.0105,59.0,16.0,3.0,0.2,-6.5,-1.9499999999999997,46.5,5.4,0.5,48.5,0.4475,98.5,22.5,0.375,30.0,0.1565,34.5,483.5,-4.6,11.5,3.8,-0.2,5.4,59.0,119.5,28.5,1.45,46.5,29.0,58.0,4.65,0.46900000000000003,13.0,0.0,0.35,-0.0305,0.4475
Carl Nicks,1980,298.0,0.9495,630.0,0.0,0.0,6.5,0.0205,193.5,31.900000000000002,5.0,0.30000000000000004,-8.65,-3.25,120.0,14.700000000000001,0.75,298.0,0.9395,636.5,113.5,1.13,201.0,0.668,107.0,1770.0,-5.4,70.5,8.100000000000001,-1.1,20.35,233.0,709.5,93.0,4.949999999999999,166.5,40.25,190.5,11.35,0.9845,39.75,-1.05,-0.30000000000000004,-0.019999999999999997,0.9395
Mike Gminski,1980,205.0,0.4325,478.5,0.0,0.0,0.5,0.0005,56.5,7.15,74.0,3.7,-1.8499999999999999,0.9,199.0,19.25,1.6,205.0,0.432,479.0,126.0,0.7945,160.0,0.3655,60.0,1159.5,-2.75,103.5,10.1,0.04999999999999999,14.9,98.0,536.0,35.5,1.35,92.0,14.45,302.5,14.6,0.497,21.549999999999997,0.0,1.65,0.08199999999999999,0.432
Kevin McHale*,1980,410.0,0.533,769.5,0.0,0.0,1.0,0.0015,73.0,5.1,168.0,4.699999999999999,1.0,1.05,284.5,15.2,3.05,410.0,0.532,770.5,147.5,0.7165,203.5,0.261,82.0,1988.5,-0.04999999999999999,173.0,10.25,3.0999999999999996,16.65,262.0,967.5,28.5,0.7,123.5,12.6,457.5,12.75,0.562,20.1,1.6,6.1,0.14600000000000002,0.532
John Duren,1980,75.5,0.3945,178.5,1.5,0.1365,6.0,0.025500000000000002,105.5,16.75,3.0,0.25,-7.5,-2.0,48.5,7.0,0.1,77.0,0.389,184.5,16.0,0.643,23.0,0.1135,59.5,757.0,-5.55,11.0,1.7,-0.7000000000000001,4.8,98.5,171.5,19.0,1.4,54.5,23.15,59.5,4.35,0.40800000000000003,13.4,-1.0,-0.6,-0.056,0.392
Ronnie Lester,1980,167.5,0.45899999999999996,336.5,2.0,0.25,4.0,0.006,184.5,17.049999999999997,7.0,0.15,-3.9499999999999997,-2.1,70.5,5.3,0.65,169.5,0.45899999999999996,340.5,109.0,0.861,133.5,0.42400000000000004,41.5,1167.5,-1.85,39.0,4.15,1.3,11.0,81.5,450.0,41.0,1.4,97.0,21.6,109.5,4.75,0.5425,18.200000000000003,0.3,1.95,0.046,0.4605
