Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
1,GSW,Joe Barry Carroll,Purdue,10,705,22838,12455,5404,1264,0.474,0,0.747,32.4,17.7,7.7,1.8,35.6,0.075,-0.6,8.2,1980
2,UTA,Darrell Griffith,Louisville,10,765,21403,12391,2519,1627,0.463,0.332,0.707,28,16.2,3.3,2.1,22,0.049,-1.4,3.4,1980
3,BOS,Kevin McHale,Minnesota,13,971,30118,17335,7122,1670,0.554,0.261,0.798,31,17.9,7.3,1.7,113,0.18,2.5,34.3,1980
4,CHI,Kelvin Ransey,Ohio State,6,474,11586,5380,901,2480,0.454,0.132,0.782,24.4,11.4,1.9,5.2,17.9,0.074,-0.9,3.3,1980
5,DEN,James Ray,Jacksonville University,3,103,843,334,228,76,0.428,0.333,0.629,8.2,3.2,2.2,0.7,-0.3,-0.017,-4.5,-0.6,1980
6,NJN,Mike O'Koren,UNC,8,407,8810,3355,1391,856,0.49,0.271,0.651,21.6,8.2,3.4,2.1,14.6,0.08,-0.6,3.1,1980
7,NJN,Mike Gminski,Duke,14,938,24058,10953,6480,1203,0.465,0.122,0.843,25.6,11.7,6.9,1.3,55.9,0.111,0.1,12.9,1980
8,PHI,Andrew Toney,Louisiana,8,468,12608,7458,1009,1965,0.5,0.342,0.797,26.9,15.9,2.2,4.2,26.9,0.103,-0.6,4.4,1980
9,SDC,Michael Brooks,La Salle,6,319,9372,4086,2001,818,0.486,0.152,0.714,29.4,12.8,6.3,2.6,16.5,0.085,-0.1,4.6,1980
10,POR,Ronnie Lester,Iowa,6,250,4959,1816,473,1003,0.469,0.227,0.788,19.8,7.3,1.9,4,6.3,0.061,-1.3,0.9,1980
11,DAL,Kiki Vandeweghe,UCLA,13,810,24521,15980,2785,1668,0.525,0.368,0.872,30.3,19.7,3.4,2.1,75.6,0.148,0.9,17.7,1980
12,NYK,Mike Woodson,Indiana,11,786,20021,10981,1838,1822,0.466,0.271,0.813,25.5,14,2.3,2.3,34.6,0.083,-0.3,8.5,1980
13,GSW,Rickey Brown,Mississippi State,5,340,4487,1482,1200,119,0.464,0,0.667,13.2,4.4,3.5,0.4,4.7,0.051,-4.4,-2.8,1980
14,WSB,Wes Matthews,Wisconsin,9,465,9305,3654,626,1955,0.478,0.225,0.788,20,7.9,1.3,4.2,11,0.057,-1.3,1.8,1980
15,SAS,Reggie Johnson,Tennessee,4,305,5979,2564,1238,262,0.505,0.143,0.716,19.6,8.4,4.1,0.9,11,0.088,-2.4,-0.5,1980
16,KCK,Hawkeye Whitney,NC State,2,70,1048,404,146,87,0.462,0.286,0.75,15,5.8,2.1,1.2,1.3,0.062,-1.6,0.1,1980
17,DET,Larry Drew,Missouri,10,714,18370,8110,1265,3702,0.467,0.291,0.798,25.7,11.4,1.8,5.2,24.4,0.064,-0.9,5,1980
18,ATL,Don Collins,Washington State,6,303,6134,2983,837,546,0.485,0.069,0.749,20.2,9.8,2.8,1.8,10.5,0.082,0.2,3.5,1980
19,UTA,John Duren,Georgetown,3,201,2947,712,226,411,0.435,0.12,0.75,14.7,3.5,1.1,2,-0.8,-0.014,-5.4,-2.5,1980
20,SEA,Bill Hanzlik,Notre Dame,10,748,15534,5414,2058,2058,0.434,0.213,0.781,20.8,7.2,2.8,2.8,24.7,0.076,-1.4,2.2,1980
23,DEN,Carl Nicks,Indiana State University,3,156,2579,1067,297,249,0.462,0,0.57,16.5,6.8,1.9,1.6,-0.4,-0.007,-4.5,-1.6,1980
24,GSW,Larry Smith,Alcorn State,13,883,22879,5904,8125,941,0.531,0,0.531,25.9,6.7,9.2,1.1,46,0.096,-1.6,2.4,1980
25,GSW,Jeff Ruland,Iona College,8,332,11088,5763,3378,1002,0.564,0.158,0.718,33.4,17.4,10.2,3,34.3,0.149,2.1,11.5,1980
26,CHI,Sam Worthen,Marquette,2,69,967,239,116,118,0.492,0,0.75,14,3.5,1.7,1.7,0.7,0.032,-2,0,1980
28,ATL,Craig Shelton,Georgetown,2,59,607,240,141,27,0.453,0,0.6,10.3,4.1,2.4,0.5,0,-0.001,-6.4,-0.7,1980
29,IND,Louis Orr,Syracuse,8,569,13353,5545,2117,853,0.468,0.083,0.787,23.5,9.7,3.7,1.5,25.7,0.093,-0.4,5.5,1980
30,IND,Kenny Natt,Louisiana-Monroe,3,49,388,150,40,41,0.417,0.2,0.621,7.9,3.1,0.8,0.8,-0.2,-0.026,-5.6,-0.5,1980
1,DAL,Mark Aguirre,DePaul,13,923,27730,18458,4578,2871,0.484,0.312,0.741,30,20,5,3.1,67.8,0.117,1.5,24.4,1981
2,DET,Isiah Thomas,Indiana,13,979,35516,18822,3478,9061,0.452,0.29,0.759,36.3,19.2,3.6,9.3,80.7,0.109,2.6,41.6,1981
3,NJN,Buck Williams,Maryland,17,1307,42464,16784,13017,1646,0.549,0.167,0.664,32.5,12.8,10,1.3,120.1,0.136,0,21.7,1981
4,ATL,Al Wood,UNC,6,417,9939,4902,1262,742,0.465,0.211,0.789,23.8,11.8,3,1.8,15.4,0.074,-1.3,1.8,1981
5,SEA,Danny Vranes,Utah,7,510,10624,2613,1998,594,0.496,0.105,0.57,20.8,5.1,3.9,1.2,15.3,0.069,-1.7,0.8,1981
6,CHI,Orlando Woolridge,Notre Dame,13,851,24041,13623,3696,1609,0.513,0.091,0.737,28.3,16,4.3,1.9,53,0.106,0.1,12.8,1981
7,KCK,Steve Johnson,Oregon State,10,626,13618,7345,3450,777,0.572,0,0.634,21.8,11.7,5.5,1.2,26.9,0.095,-1.7,1.1,1981
8,SDC,Tom Chambers,Utah,16,1107,33922,20049,6703,2283,0.468,0.307,0.807,30.6,18.1,6.1,2.1,79,0.112,-0.6,12,1981
9,DAL,Rolando Blackman,Kansas State,13,980,32087,17623,3278,2981,0.493,0.343,0.84,32.7,18,3.3,3,75.6,0.113,0.4,19.8,1981
10,NJN,Albert King,Maryland,9,534,12836,6470,2262,1171,0.461,0.268,0.791,24,12.1,4.2,2.2,16.3,0.061,-1.7,1.1,1981
11,WSB,Frank Johnson,Wake Forest,10,596,12897,4937,1025,2476,0.439,0.218,0.76,21.6,8.3,1.7,4.2,17.2,0.064,-1.3,2.4,1981
12,DET,Kelly Tripucka,Notre Dame,10,707,20959,12142,2703,2090,0.473,0.361,0.849,29.6,17.2,3.8,3,44.4,0.102,0.1,11.2,1981
13,UTA,Danny Schayes,Syracuse,18,1138,21975,8780,5671,1299,0.481,0.133,0.806,19.3,7.7,5,1.1,48.8,0.107,-2,-0.1,1981
14,IND,Herb Williams,Ohio State,18,1102,28484,11944,6509,1856,0.467,0.095,0.696,25.8,10.8,5.9,1.7,36.1,0.061,-0.9,7.8,1981
15,POR,Jeff Lamp,Virginia,6,291,3471,1495,437,269,0.47,0.222,0.841,11.9,5.1,1.5,0.9,5.2,0.072,-2.6,-0.5,1981
16,POR,Darnell Valentine,Kansas,9,620,14395,5400,1318,3080,0.437,0.261,0.787,23.2,8.7,2.1,5,22.1,0.074,-0.5,5.5,1981
17,KCK,Kevin Loder,Alabama State University,3,148,2094,875,338,174,0.461,0.261,0.695,14.1,5.9,2.3,1.2,2.4,0.055,-1.7,0.2,1981
18,NJN,Ray Tolbert,Indiana,5,261,2789,928,609,135,0.495,0,0.544,10.7,3.6,2.3,0.5,2.9,0.051,-3,-0.7,1981
19,LAL,Mike McGee,Michigan,9,520,9271,4968,1112,629,0.487,0.354,0.597,17.8,9.6,2.1,1.2,15.1,0.078,-1.3,1.7,1981
20,PHO,Larry Nance,Clemson,13,920,30697,15687,7352,2393,0.546,0.145,0.755,33.4,17.1,8,2.6,109.6,0.171,3.6,43.5,1981
21,MIL,Alton Lister,Arizona State,16,953,18965,6298,5996,914,0.512,0.111,0.597,19.9,6.6,6.3,1,36.6,0.093,-1.4,3.1,1981
22,PHI,Franklin Edwards,Cleveland State University,7,296,4436,1802,300,774,0.449,0.03,0.795,15,6.1,1,2.6,3.9,0.043,-1.9,0.1,1981
23,BOS,Charles Bradley,Wyoming,3,110,910,347,119,55,0.416,0,0.585,8.3,3.2,1.1,0.5,0.3,0.016,-3.4,-0.4,1981
24,DAL,Jay Vincent,Michigan State,9,576,15556,8729,3167,1124,0.474,0.148,0.784,27,15.2,5.5,2,27.5,0.085,-1.3,2.6,1981
25,BOS,Tracy Jackson,Notre Dame,3,129,1797,694,243,132,0.463,0.154,0.749,13.9,5.4,1.9,1,2.4,0.064,-1.5,0.2,1981
27,UTA,Howard Wood,Tennessee,1,42,342,144,65,9,0.458,0,0.654,8.1,3.4,1.5,0.2,0.3,0.049,-3.6,-0.1,1981
28,SAS,Gene Banks,Duke,6,468,13074,5305,2718,1335,0.539,0.043,0.73,27.9,11.3,5.8,2.9,31.2,0.115,0.7,8.7,1981
29,KCK,Eddie Johnson,Illinois,17,1199,32604,19202,4832,2550,0.472,0.335,0.84,27.2,16,4,2.1,65.6,0.097,-0.7,11,1981
30,SAS,Ed Rains,University of South Alabama,2,83,929,287,124,62,0.423,0,0.626,11.2,3.5,1.5,0.7,0.7,0.034,-3.9,-0.5,1981
1,LAL,James Worthy,UNC,12,926,30001,16320,4708,2791,0.521,0.241,0.769,32.4,17.6,5.1,3,81.2,0.13,1.9,29.2,1982
2,SDC,Terry Cummings,DePaul,18,1183,33898,19460,8630,2190,0.484,0.295,0.706,28.7,16.4,7.3,1.9,91.1,0.129,0.6,22.5,1982
3,UTA,Dominique Wilkins,Georgia,15,1074,38113,26668,7169,2677,0.461,0.319,0.811,35.5,24.8,6.7,2.5,117.5,0.148,3.3,50.6,1982
4,DAL,Bill Garnett,Wyoming,4,300,5260,1638,1298,393,0.49,0,0.72,17.5,5.5,4.3,1.3,10.8,0.099,-0.8,1.6,1982
5,KCK,LaSalle Thompson,Texas,15,985,21238,7806,6689,1139,0.492,0.154,0.737,21.6,7.9,6.8,1.2,35,0.079,-1.5,2.7,1982
6,NYK,Trent Tucker,Minnesota,11,756,15671,6236,1520,1532,0.461,0.408,0.754,20.7,8.2,2,2,34.3,0.105,0.6,10.2,1982
7,CHI,Quintin Dailey,San Francisco,10,528,12170,7470,1307,1188,0.454,0.158,0.779,23,14.1,2.5,2.3,12.7,0.05,-1.9,0.3,1982
8,IND,Clark Kellogg,Ohio State,5,260,8514,4918,2482,764,0.497,0.338,0.757,32.7,18.9,9.5,2.9,20.9,0.118,1.4,7.3,1982
9,DET,Cliff Levingston,Wichita State,11,830,16962,5888,4307,752,0.516,0.152,0.676,20.4,7.1,5.2,0.9,44.2,0.125,-0.2,7.6,1982
10,ATL,Keith Edmonson,Purdue,2,87,931,522,127,56,0.448,0,0.719,10.7,6,1.5,0.6,0.4,0.022,-3.6,-0.4,1982
11,POR,Fat Lever,Arizona State,11,752,23814,10433,4523,4696,0.447,0.31,0.771,31.7,13.9,6,6.2,61.2,0.123,3.3,32.1,1982
12,CLE,John Bagley,Boston College,11,665,17120,5802,1729,3980,0.437,0.241,0.779,25.7,8.7,2.6,6,16.6,0.047,-0.9,4.5,1982
13,NJN,Sleepy Floyd,Georgetown,13,957,26383,12260,2494,5175,0.444,0.324,0.815,27.6,12.8,2.6,5.4,50.6,0.092,0.5,16.6,1982
14,GSW,Lester Conner,Oregon State,12,687,14970,4337,1861,2669,0.453,0.202,0.753,21.8,6.3,2.7,3.9,28.6,0.092,1,11.3,1982
15,PHO,David Thirdkill,Bradley,5,179,1469,510,209,84,0.457,0.091,0.565,8.2,2.8,1.2,0.5,1.3,0.042,-4.9,-1.1,1982
16,HOU,Terry Teagle,Baylor,11,687,14509,7982,1803,956,0.465,0.21,0.792,21.1,11.6,2.6,1.4,13.4,0.044,-2.9,-3.2,1982
17,KCK,Brook Steppe,Georgia Tech,5,238,2858,1297,345,280,0.469,0.31,0.82,12,5.4,1.4,1.2,4.6,0.078,-1.8,0.2,1982
18,DET,Ricky Pierce,Rice University,16,969,23665,14467,2296,1826,0.493,0.322,0.875,24.4,14.9,2.4,1.9,72.2,0.146,1.1,18.6,1982
19,DEN,Rob Williams,Houston,2,153,3367,1319,330,825,0.439,0.274,0.789,22,8.6,2.2,5.4,2.1,0.03,-3.1,-0.9,1982
20,MIL,Paul Pressey,Tulsa,11,724,19659,7664,2798,3715,0.485,0.222,0.749,27.2,10.6,3.9,5.1,49,0.12,2.6,22.8,1982
21,NJN,Eddie Phillips,Alabama,1,48,416,152,77,29,0.406,0,0.678,8.7,3.2,1.6,0.6,0.1,0.011,-4.7,-0.3,1982
23,BOS,Darren Tillis,Cleveland State University,2,124,1256,425,314,42,0.423,0,0.626,10.1,3.4,2.5,0.3,0.9,0.036,-4.4,-0.8,1982
24,SAS,Oliver Robinson,UAB,1,35,147,101,17,21,0.361,0.091,0.667,4.2,2.9,0.5,0.6,0.1,0.018,-5,-0.1,1982
25,WSB,Bryan Warrick,Saint Joseph's,4,169,2379,677,218,437,0.443,0.208,0.747,14.1,4,1.3,2.6,1.6,0.033,-3.3,-0.8,1982
27,MIL,Fred Roberts,BYU,13,818,14703,5962,2308,977,0.502,0.325,0.796,18,7.3,2.8,1.2,26.2,0.086,-1.6,1.5,1982
28,CLE,Dave Magley,Kansas,1,14,56,12,10,2,0.25,0,0.5,4,0.9,0.7,0.1,-0.1,-0.066,-5,-0.1,1982
29,NYK,Scott Hastings,Arkansas,11,578,5985,1647,1287,284,0.441,0.292,0.811,10.4,2.8,2.2,0.5,9.8,0.079,-2.8,-1.2,1982
1,HOU,Ralph Sampson,Virginia,9,456,13591,7039,4011,1038,0.486,0.172,0.661,29.8,15.4,8.8,2.3,20.1,0.071,-0.6,5,1983
2,IND,Steve Stipanovich,Missouri,5,403,12591,5323,3131,938,0.484,0.179,0.796,31.2,13.2,7.8,2.3,30.4,0.116,0.6,8.4,1983
3,HOU,Rodney McCray,Louisville,10,768,24876,9014,5087,2750,0.503,0.26,0.761,32.4,11.7,6.6,3.6,56,0.108,1,19.1,1983
4,SDC,Byron Scott,Arizona State,14,1073,30152,15097,2987,2729,0.482,0.37,0.833,28.1,14.1,2.8,2.5,75.2,0.12,0.8,21,1983
5,CHI,Sidney Green,UNLV,10,679,13247,5080,4128,635,0.454,0.037,0.738,19.5,7.5,6.1,0.9,17.4,0.063,-3.2,-3.9,1983
7,UTA,Thurl Bailey,NC State,12,928,24873,11834,4718,1298,0.473,0.114,0.812,26.8,12.8,5.1,1.4,45,0.087,-0.9,6.9,1983
8,DET,Antoine Carr,Wichita State,16,987,19780,9176,3384,1086,0.503,0.13,0.78,20,9.3,3.4,1.1,42.1,0.102,-1.2,4.1,1983
9,DAL,Dale Ellis,Tennessee,17,1209,34778,19004,4201,1746,0.479,0.403,0.784,28.8,15.7,3.5,1.4,84.7,0.117,0.6,22.9,1983
10,WSB,Jeff Malone,Mississippi State,13,905,29660,17231,2364,2154,0.484,0.268,0.871,32.8,19,2.6,2.4,54.2,0.088,-1.5,4,1983
11,DAL,Derek Harper,Illinois,16,1199,37786,16006,2884,6577,0.463,0.354,0.745,31.5,13.3,2.4,5.5,86.8,0.11,1.8,35.7,1983
12,NYK,Darrell Walker,Arkansas,10,720,18601,6389,3134,3276,0.435,0.059,0.713,25.8,8.9,4.4,4.6,27.4,0.071,0.8,13,1983
