Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Draft_Year,Year_Number
1981.0,Michael Brooks,82.0,2479.0,15.8,0.519,0.006,0.314,9.4,11.4,10.4,12.3,1.9,0.7,12.3,21.7,3.2,1.7,4.9,0.095,1.1,-0.1,1.0,1.9,488.0,1018.0,0.479,0.0,6.0,0.0,488.0,1012.0,0.482,0.479,226.0,320.0,0.706,210.0,232.0,442.0,208.0,99.0,31.0,163.0,234.0,1202.0,1980,1
1981.0,Rickey Brown,45.0,580.0,10.9,0.531,0.0,0.13,9.8,22.1,15.9,4.8,0.7,1.4,15.3,13.8,0.5,0.4,0.9,0.075,-2.2,-1.0,-3.2,-0.2,83.0,162.0,0.512,0.0,0.0,,83.0,162.0,0.512,0.512,16.0,21.0,0.762,52.0,114.0,166.0,21.0,9.0,14.0,31.0,103.0,182.0,1980,1
1981.0,Don Collins,81.0,1845.0,14.5,0.5,0.007,0.335,7.8,8.5,8.1,15.7,2.7,0.8,15.8,24.6,0.6,2.0,2.6,0.068,-0.1,0.3,0.2,1.0,360.0,811.0,0.444,0.0,6.0,0.0,360.0,805.0,0.447,0.444,211.0,272.0,0.776,129.0,139.0,268.0,190.0,104.0,25.0,174.0,259.0,931.0,1980,1
1981.0,Don Collins,47.0,1184.0,15.0,0.496,0.006,0.306,9.2,8.9,9.1,15.4,2.8,0.6,15.1,24.8,0.7,1.0,1.8,0.072,0.5,-0.2,0.3,0.7,230.0,530.0,0.434,0.0,3.0,0.0,230.0,527.0,0.436,0.434,137.0,162.0,0.846,96.0,91.0,187.0,115.0,69.0,11.0,107.0,166.0,597.0,1980,1
1981.0,Don Collins,34.0,661.0,13.6,0.507,0.011,0.391,5.2,7.7,6.4,16.2,2.5,1.1,16.9,24.1,-0.1,0.9,0.8,0.062,-1.1,1.0,-0.1,0.3,130.0,281.0,0.463,0.0,3.0,0.0,130.0,278.0,0.468,0.463,74.0,110.0,0.673,33.0,48.0,81.0,75.0,35.0,14.0,67.0,93.0,334.0,1980,1
1981.0,Larry Drew,76.0,1581.0,9.3,0.464,0.035,0.275,1.7,7.5,4.4,22.7,2.6,0.3,23.4,18.1,-1.6,1.6,0.0,-0.001,-4.1,-0.9,-5.0,-1.2,197.0,484.0,0.407,4.0,17.0,0.235,193.0,467.0,0.413,0.411,106.0,133.0,0.797,24.0,96.0,120.0,249.0,88.0,7.0,166.0,125.0,504.0,1980,1
1981.0,John Duren,40.0,458.0,2.6,0.338,0.01,0.089,2.0,6.7,4.4,15.3,1.9,0.3,26.1,13.3,-1.1,0.2,-0.9,-0.099,-7.2,-1.3,-8.5,-0.8,33.0,101.0,0.327,0.0,1.0,0.0,33.0,100.0,0.33,0.327,5.0,9.0,0.556,8.0,27.0,35.0,54.0,18.0,2.0,37.0,54.0,71.0,1980,1
1981.0,Mike Gminski,56.0,1579.0,14.5,0.474,0.001,0.294,9.6,20.6,15.0,6.6,1.6,3.6,14.1,22.7,-0.5,2.0,1.5,0.045,-3.0,0.7,-2.3,-0.1,291.0,688.0,0.423,0.0,1.0,0.0,291.0,687.0,0.424,0.423,155.0,202.0,0.767,137.0,282.0,419.0,72.0,54.0,100.0,128.0,127.0,737.0,1980,1
1981.0,Darrell Griffith,81.0,2867.0,14.7,0.496,0.034,0.207,3.2,8.3,5.8,11.4,1.8,0.8,12.1,28.8,-0.8,1.1,0.4,0.006,-1.6,-2.6,-4.1,-1.6,716.0,1544.0,0.464,10.0,52.0,0.192,706.0,1492.0,0.473,0.467,229.0,320.0,0.716,79.0,209.0,288.0,194.0,106.0,40.0,231.0,219.0,1671.0,1980,1
1981.0,Bill Hanzlik,74.0,1259.0,11.0,0.558,0.017,0.519,6.0,7.3,6.7,12.0,2.2,0.9,19.1,14.2,1.1,1.3,2.4,0.091,-1.1,0.7,-0.4,0.5,138.0,289.0,0.478,1.0,5.0,0.2,137.0,284.0,0.482,0.479,119.0,150.0,0.793,67.0,86.0,153.0,111.0,58.0,20.0,84.0,168.0,396.0,1980,1
1981.0,Reggie Johnson,79.0,1716.0,12.9,0.527,0.001,0.283,8.8,13.7,11.4,6.5,1.2,1.5,14.5,20.7,1.4,1.6,3.0,0.085,-1.0,-1.2,-2.2,-0.1,340.0,682.0,0.499,0.0,1.0,0.0,340.0,681.0,0.499,0.499,128.0,193.0,0.663,132.0,226.0,358.0,78.0,45.0,48.0,130.0,283.0,808.0,1980,1
1981.0,Ronnie Lester,8.0,83.0,8.2,0.52,0.0,0.458,4.3,3.9,4.1,11.2,1.1,0.0,23.8,18.6,0.0,0.0,0.0,0.008,-4.0,-3.1,-7.1,-0.1,10.0,24.0,0.417,0.0,0.0,,10.0,24.0,0.417,0.417,10.0,11.0,0.909,3.0,3.0,6.0,7.0,2.0,0.0,9.0,5.0,30.0,1980,1
1981.0,Wes Matthews,79.0,2266.0,13.1,0.549,0.027,0.323,2.2,4.6,3.4,26.2,2.3,0.4,22.7,20.7,0.7,1.9,2.6,0.055,-0.7,-1.0,-1.7,0.2,385.0,779.0,0.494,5.0,21.0,0.238,380.0,758.0,0.501,0.497,202.0,252.0,0.802,46.0,93.0,139.0,411.0,107.0,17.0,261.0,242.0,977.0,1980,1
1981.0,Wes Matthews,45.0,1161.0,12.6,0.546,0.033,0.287,2.7,3.4,3.0,24.3,1.9,0.5,22.8,22.6,-0.2,1.2,1.0,0.041,-1.2,-0.8,-2.0,0.0,224.0,449.0,0.499,5.0,15.0,0.333,219.0,434.0,0.505,0.504,99.0,129.0,0.767,30.0,37.0,67.0,199.0,46.0,10.0,149.0,120.0,552.0,1980,1
