Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year
1,MIL,Kent Benson,Indiana,11.0,680.0,15719.0,6168.0,3881.0,1203.0,0.493,,0.757,23.1,9.1,5.7,1.8,33.6,0.103,0.2,8.8,1977
2,KCK,Otis Birdsong,Houston,12.0,696.0,21627.0,12544.0,2072.0,2260.0,0.506,,0.655,31.1,18.0,3.0,3.2,48.2,0.107,0.6,14.3,1977
3,MIL,Marques Johnson,UCLA,11.0,691.0,23694.0,13892.0,4817.0,2502.0,0.518,,0.739,34.3,20.1,7.0,3.6,79.8,0.162,3.3,31.7,1977
4,WSB,Greg Ballard,Oregon,11.0,802.0,22073.0,9953.0,4858.0,1733.0,0.472,,0.787,27.5,12.4,6.1,2.2,54.0,0.117,1.2,18.1,1977
5,PHO,Walter Davis,UNC,15.0,1033.0,28859.0,19521.0,3053.0,3878.0,0.511,,0.851,27.9,18.9,3.0,3.8,76.9,0.128,1.5,25.3,1977
6,LAL,Kenny Carr,NC State,10.0,674.0,17167.0,7813.0,4999.0,923.0,0.51,,0.684,25.5,11.6,7.4,1.4,33.6,0.094,-1.5,2.3,1977
7,NJN,Bernard King,Tennessee,14.0,874.0,29417.0,19655.0,5060.0,2863.0,0.518,,0.73,33.7,22.5,5.8,3.3,75.4,0.123,1.7,27.0,1977
8,SEA,Jack Sikma,Illinois Wesleyan University,14.0,1107.0,36943.0,17287.0,10816.0,3488.0,0.464,,0.849,33.4,15.6,9.8,3.2,112.5,0.146,2.0,37.0,1977
9,DEN,Tom LaGarde,UNC,6.0,312.0,6194.0,2376.0,1593.0,456.0,0.462,,0.64,19.9,7.6,5.1,1.5,6.5,0.05,-3.0,-1.6,1977
10,NYK,Ray Williams,Minnesota,10.0,655.0,18462.0,10158.0,2370.0,3779.0,0.451,,0.802,28.2,15.5,3.6,5.8,37.1,0.096,1.6,16.8,1977
11,MIL,Ernie Grunfeld,Tennessee,9.0,693.0,12916.0,5124.0,1815.0,1419.0,0.477,,0.77,18.6,7.4,2.6,2.0,25.0,0.093,-0.5,4.9,1977
12,BOS,Cedric Maxwell,UNC Charlotte,11.0,835.0,23769.0,10465.0,5261.0,1862.0,0.546,,0.784,28.5,12.5,6.3,2.2,78.5,0.159,1.7,22.1,1977
