Unnamed: 0_level_0,Unnamed: 1_level_0,Player,Round 1,Round 1,Unnamed: 5_level_0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,Draft_Year
1,1,PHI,Ben Simmons,LSU,7,383,11910,5021,2840,2754,.558,.139,.592,31.1,13.1,7.4,7.2,35.4,.143,3.0,15.0,2016
2,2,LAL,Brandon Ingram,Duke,9,495,16316,9656,2566,2130,.468,.363,.788,33.0,19.5,5.2,4.3,27.3,.080,0.1,8.6,2016
3,3,BOS,Jaylen Brown,California,9,603,18465,11436,3208,1589,.478,.359,.726,30.6,19.0,5.3,2.6,40.5,.105,0.3,10.8,2016
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9,2016
5,5,MIN,Kris Dunn,Providence,9,407,9497,3116,1355,1617,.437,.327,.736,23.3,7.7,3.3,4.0,11.8,.059,-1.1,2.2,2016
6,6,NOP,Buddy Hield,Oklahoma,9,714,20180,10732,2936,1775,.433,.397,.858,28.3,15.0,4.1,2.5,27.7,.066,0.3,11.5,2016
7,7,DEN,Jamal Murray,Kentucky,8,536,16796,9623,2018,2509,.455,.381,.870,31.3,18.0,3.8,4.7,38.1,.109,0.9,12.4,2016
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5,2016
9,9,TOR,Jakob Poeltl,Utah,9,595,13320,5311,4153,1083,.631,.429,.555,22.4,8.9,7.0,1.8,44.2,.159,1.2,10.9,2016
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1,2016
11,11,ORL,Domantas Sabonis,Gonzaga,9,646,19899,10401,6880,3162,.560,.347,.729,30.8,16.1,10.7,4.9,69.9,.169,3.4,27.2,2016
12,12,UTA,Taurean Prince,Baylor,9,582,14402,5745,2091,1005,.428,.384,.811,24.7,9.9,3.6,1.7,15.0,.050,-2.0,-0.1,2016
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2,2016
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2,2016
15,15,DEN,Juancho Hernangómez,,7,339,5269,1711,1131,216,.428,.342,.676,15.5,5.0,3.3,0.6,8.7,.080,-1.9,0.1,2016
16,16,BOS,Guerschon Yabusele,,3,144,2381,941,500,179,.489,.369,.714,16.5,6.5,3.5,1.2,5.0,.100,-1.2,0.5,2016
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5,2016
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3,2016
19,19,DEN,Malik Beasley,Florida State,9,578,13739,6738,1612,789,.426,.391,.769,23.8,11.7,2.8,1.4,20.1,.070,-0.9,3.7,2016
20,20,IND,Caris LeVert,Michigan,9,524,14551,7274,1981,2105,.437,.345,.736,27.8,13.9,3.8,4.0,23.9,.079,-0.2,6.5,2016
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,.474,.283,.611,19.2,5.9,3.2,1.8,4.4,.038,-2.3,-0.4,2016
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7,2016
23,23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2,2016
24,24,PHI,Timothé Luwawu-Cabarrot,,6,328,5254,1937,656,293,.391,.335,.829,16.0,5.9,2.0,0.9,4.7,.043,-4.0,-2.7,2016
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0,2016
26,26,PHI,Furkan Korkmaz,,7,328,5447,2244,646,391,.406,.356,.761,16.6,6.8,2.0,1.2,7.6,.067,-2.0,0.1,2016
27,27,TOR,Pascal Siakam,New Mexico State,9,629,19637,11325,4183,2261,.499,.339,.763,31.2,18.0,6.7,3.6,55.5,.136,2.0,19.6,2016
28,28,PHO,Skal Labissière,Kentucky,5,152,2607,1074,665,153,.492,.360,.748,17.2,7.1,4.4,1.0,4.4,.081,-2.3,-0.2,2016
29,29,SAS,Dejounte Murray,Washington,8,503,14745,7803,2925,2718,.453,.340,.790,29.3,15.5,5.8,5.4,26.2,.085,1.4,12.6,2016
30,30,GSW,Damian Jones,Vanderbilt,8,279,3782,1366,869,193,.656,.351,.715,13.6,4.9,3.1,0.7,11.3,.143,-1.0,1.0,2016
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2016
