Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,First_Round_Pick,Long_Career
1,GSW,Joe Barry Carroll,Purdue,10.0,705.0,22838.0,12455.0,5404.0,1264.0,0.474,0.0,0.747,32.4,17.7,7.7,1.8,35.6,0.075,-0.6,8.2,1980,0.8597560975609756,9.5,1.0,-0.6,0.3117,0.5453629915053858,0.23662317190647167,0.055346352570277604,0.05049645390070922,1,1,1
2,UTA,Darrell Griffith,Louisville,10.0,765.0,21403.0,12391.0,2519.0,1627.0,0.463,0.332,0.707,28.0,16.2,3.3,2.1,22.0,0.049,-1.4,3.4,1980,0.9329268292682927,5.4,0.5,-0.7,0.435,0.5789375321216652,0.11769378124561977,0.07601738074101762,0.02875816993464052,1,1,1
3,BOS,Kevin McHale,Minnesota,13.0,971.0,30118.0,17335.0,7122.0,1670.0,0.554,0.261,0.798,31.0,17.9,7.3,1.7,113.0,0.18,2.5,34.3,1980,0.9108818011257036,9.0,0.3333333333333333,0.8333333333333333,0.46120000000000005,0.5755694269207783,0.23646988511853376,0.05544856896208247,0.11637487126673532,1,1,1
4,CHI,Kelvin Ransey,Ohio State,6.0,474.0,11586.0,5380.0,901.0,2480.0,0.454,0.132,0.782,24.4,11.4,1.9,5.2,17.9,0.074,-0.9,3.3,1980,0.9634146341463414,7.1,0.25,-0.225,0.358,0.4643535301225617,0.0777662696357673,0.21405144139478682,0.03776371308016877,1,1,1
5,DEN,James Ray,Jacksonville University,3.0,103.0,843.0,334.0,228.0,76.0,0.428,0.333,0.629,8.2,3.2,2.2,0.7,-0.3,-0.017,-4.5,-0.6,1980,0.4186991869918699,2.9000000000000004,0.2,-0.9,0.4101,0.3962040332147094,0.2704626334519573,0.09015421115065243,-0.002912621359223301,1,1,0
6,NJN,Mike O'Koren,UNC,8.0,407.0,8810.0,3355.0,1391.0,856.0,0.49,0.271,0.651,21.6,8.2,3.4,2.1,14.6,0.08,-0.6,3.1,1980,0.6204268292682927,5.5,0.16666666666666666,-0.09999999999999999,0.4185,0.38081725312145287,0.15788876276958003,0.09716231555051079,0.03587223587223587,1,1,1
7,NJN,Mike Gminski,Duke,14.0,938.0,24058.0,10953.0,6480.0,1203.0,0.465,0.122,0.843,25.6,11.7,6.9,1.3,55.9,0.111,0.1,12.9,1980,0.8170731707317073,8.200000000000001,0.14285714285714285,0.014285714285714285,0.3656,0.45527475268102086,0.26934907307340594,0.05000415662149805,0.05959488272921109,1,1,1
8,PHI,Andrew Toney,Louisiana,8.0,468.0,12608.0,7458.0,1009.0,1965.0,0.5,0.342,0.797,26.9,15.9,2.2,4.2,26.9,0.103,-0.6,4.4,1980,0.7134146341463414,6.4,0.125,-0.075,0.4665,0.5915291878172588,0.08002855329949239,0.15585342639593908,0.057478632478632476,1,1,1
9,SDC,Michael Brooks,La Salle,6.0,319.0,9372.0,4086.0,2001.0,818.0,0.486,0.152,0.714,29.4,12.8,6.3,2.6,16.5,0.085,-0.1,4.6,1980,0.6483739837398373,8.9,0.1111111111111111,-0.011111111111111112,0.37520000000000003,0.4359795134443022,0.21350832266325223,0.08728126333760136,0.05172413793103448,1,1,1
10,POR,Ronnie Lester,Iowa,6.0,250.0,4959.0,1816.0,473.0,1003.0,0.469,0.227,0.788,19.8,7.3,1.9,4.0,6.3,0.061,-1.3,0.9,1980,0.508130081300813,5.9,0.1,-0.13,0.4041,0.36620286348054043,0.09538213349465618,0.20225851986287557,0.0252,1,1,1
11,DAL,Kiki Vandeweghe,UCLA,13.0,810.0,24521.0,15980.0,2785.0,1668.0,0.525,0.368,0.872,30.3,19.7,3.4,2.1,75.6,0.148,0.9,17.7,1980,0.7598499061913696,5.5,0.09090909090909091,0.08181818181818182,0.4969,0.6516863096937319,0.11357611842910159,0.06802332694425187,0.09333333333333332,1,1,1
12,NYK,Mike Woodson,Indiana,11.0,786.0,20021.0,10981.0,1838.0,1822.0,0.466,0.271,0.813,25.5,14.0,2.3,2.3,34.6,0.083,-0.3,8.5,1980,0.8713968957871396,4.6,0.08333333333333333,-0.024999999999999998,0.4227,0.5484741021926977,0.09180360621347584,0.09100444533240098,0.0440203562340967,1,1,1
13,GSW,Rickey Brown,Mississippi State,5.0,340.0,4487.0,1482.0,1200.0,119.0,0.464,0.0,0.667,13.2,4.4,3.5,0.4,4.7,0.051,-4.4,-2.8,1980,0.8292682926829268,3.9,0.07692307692307693,-0.3384615384615385,0.2987,0.3302874972141743,0.2674392689993314,0.0265210608424337,0.013823529411764707,1,1,1
