Pk,Tm,Player,College,Yrs,G,MP,PTS_Total,TRB_Total,AST_Total,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft_Year,Durability_Factor,Versatility_Score,Draft_Pick_Value,Draft_Pick_x_BPM,Scoring_Efficiency,Points_Per_Min,Rebounds_Per_Min,Assists_Per_Min,WS_Per_Game,Lottery_Pick,Long_Career
1,NOP,Zion Williamson,Duke,5,214,6714,5279,1415,920,0.589,0.327,0.689,31.4,24.7,6.6,4.3,24.2,0.173,4.9,11.8,2019,0.5219512195121951,10.899999999999999,1.0,4.9,0.49420000000000003,0.7862675007447125,0.2107536490914507,0.13702710753649092,0.1130841121495327,1,1
2,MEM,Ja Morant,Murray State,6,307,9801,6942,1448,2267,0.469,0.316,0.766,31.9,22.6,4.7,7.4,24.1,0.118,2.7,11.8,2019,0.6239837398373984,12.100000000000001,0.5,1.35,0.4375,0.7082950719314356,0.14774002652790533,0.23130292827262525,0.07850162866449512,1,1
3,NYK,RJ Barrett,Duke,6,387,12814,7293,2150,1276,0.441,0.346,0.697,33.1,18.8,5.6,3.3,13.3,0.05,-1.7,0.9,2019,0.7865853658536586,8.899999999999999,0.3333333333333333,-0.5666666666666667,0.4286,0.5691431247073513,0.16778523489932887,0.0995785859216482,0.034366925064599485,1,1
4,LAL,De'Andre Hunter,Virginia,6,327,9820,4839,1336,497,0.452,0.373,0.819,30.0,14.8,4.1,1.5,12.1,0.059,-2.6,-1.5,2019,0.6646341463414634,5.6,0.25,-0.65,0.45709999999999995,0.4927698574338086,0.1360488798370672,0.05061099796334012,0.037003058103975535,1,1
5,CLE,Darius Garland,Vanderbilt,6,382,12693,7204,1015,2558,0.453,0.388,0.867,33.2,18.9,2.7,6.7,24.6,0.093,0.3,7.3,2019,0.7764227642276422,9.4,0.2,0.06,0.46840000000000004,0.5675569211376349,0.07996533522413929,0.20152840148113133,0.06439790575916231,1,1
6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6,2019,0.43902439024390244,4.0,0.16666666666666666,-0.75,0.3618,0.37661290322580643,0.1620967741935484,0.06975806451612904,-0.0006944444444444445,1,0
7,CHI,Coby White,UNC,6,422,12566,6405,1539,1618,0.433,0.369,0.865,29.8,15.2,3.6,3.8,17.9,0.069,-1.5,1.5,2019,0.8577235772357723,7.4,0.14285714285714285,-0.21428571428571427,0.4506,0.5097087378640777,0.12247334076078306,0.12876014642686615,0.0424170616113744,1,1
8,ATL,Jaxson Hayes,Texas,6,367,6022,2494,1443,259,0.649,0.261,0.696,16.4,6.8,3.9,0.7,20.1,0.16,-0.4,2.5,2019,0.7459349593495935,4.6,0.125,-0.05,0.4985,0.4141481235469944,0.2396213882431086,0.043008967120557955,0.05476839237057221,1,1
9,WAS,Rui Hachimura,Gonzaga,6,337,9345,4318,1638,439,0.496,0.381,0.764,27.7,12.8,4.9,1.3,15.6,0.08,-1.9,0.2,2019,0.6849593495934959,6.2,0.1111111111111111,-0.21111111111111108,0.4768,0.46206527554842164,0.1752808988764045,0.04697699304440878,0.04629080118694362,1,1
10,ATL,Cam Reddish,Duke,6,254,5876,2151,678,297,0.398,0.322,0.821,23.1,8.5,2.7,1.2,3.3,0.027,-3.1,-1.7,2019,0.516260162601626,3.9000000000000004,0.1,-0.31000000000000005,0.4099,0.36606535057862494,0.11538461538461539,0.050544588155207626,0.012992125984251968,1,1
11,MIN,Cameron Johnson,UNC,6,340,9020,4395,1342,664,0.453,0.392,0.851,26.5,12.9,3.9,2.0,22.9,0.122,1.6,8.2,2019,0.6910569105691057,5.9,0.09090909090909091,0.14545454545454548,0.46840000000000004,0.48725055432372505,0.14878048780487804,0.07361419068736141,0.06735294117647059,1,1
12,CHO,P.J. Washington,Kentucky,6,390,11917,5121,2282,878,0.448,0.358,0.709,30.6,13.1,5.9,2.3,14.8,0.06,-1.2,2.4,2019,0.7926829268292683,8.2,0.08333333333333333,-0.09999999999999999,0.4381,0.4297222455315935,0.19149114710078038,0.0736762608038936,0.03794871794871795,1,1
13,MIA,Tyler Herro,Kentucky,6,361,11763,6987,1802,1460,0.448,0.382,0.874,32.6,19.4,5.0,4.0,19.9,0.081,0.7,8.0,2019,0.733739837398374,9.0,0.07692307692307693,0.05384615384615385,0.46420000000000006,0.5939811272634532,0.15319221287086626,0.1241179971095809,0.05512465373961219,1,1
14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,0.43,0.288,0.659,16.1,4.6,2.1,0.7,2.0,0.043,-3.4,-0.8,2019,0.4298780487804878,2.8,0.07142857142857142,-0.24285714285714283,0.3961,0.2865961199294533,0.13139329805996472,0.0427689594356261,0.014184397163120567,1,0
16,ORL,Chuma Okeke,Auburn,5,198,4028,1242,751,291,0.387,0.321,0.787,20.3,6.3,3.8,1.5,5.0,0.06,-1.1,1.0,2019,0.48292682926829267,5.3,0.0625,-0.06875,0.4006,0.3083416087388282,0.18644488579940416,0.07224428997020854,0.025252525252525252,0,1
17,BRK,Nickeil Alexander-Walker,Virginia Tech,6,381,7942,3258,948,882,0.414,0.36,0.743,20.8,8.6,2.5,2.3,10.2,0.062,-1.2,1.6,2019,0.774390243902439,4.8,0.058823529411764705,-0.07058823529411765,0.4253,0.41022412490556537,0.11936539914379249,0.11105514983631327,0.026771653543307086,0,1
20,BOS,Matisse Thybulle,Washington,6,347,7269,1698,710,388,0.438,0.343,0.661,20.9,4.9,2.0,1.1,14.1,0.093,0.9,5.3,2019,0.7052845528455285,3.1,0.05,0.045000000000000005,0.4223,0.23359471729261247,0.09767505846746458,0.05337735589489614,0.04063400576368876,0,1
21,OKC,Brandon Clarke,Gonzaga,6,307,6392,3136,1683,409,0.606,0.266,0.698,20.8,10.2,5.5,1.3,24.6,0.185,2.4,7.1,2019,0.6239837398373984,6.8,0.047619047619047616,0.11428571428571427,0.47919999999999996,0.490613266583229,0.2632978723404255,0.06398623279098874,0.08013029315960912,0,1
22,BOS,Grant Williams,Tennessee,6,380,8710,2724,1393,552,0.452,0.377,0.774,22.9,7.2,3.7,1.5,15.5,0.085,-1.9,0.3,2019,0.7723577235772358,5.2,0.045454545454545456,-0.08636363636363636,0.45420000000000005,0.312743972445465,0.15993111366245694,0.06337543053960965,0.04078947368421053,0,1
24,PHI,Ty Jerome,Virginia,6,229,4140,1986,467,648,0.458,0.381,0.85,18.1,8.7,2.0,2.8,9.9,0.114,0.4,2.5,2019,0.4654471544715447,4.8,0.041666666666666664,0.016666666666666666,0.46640000000000004,0.4797101449275362,0.11280193236714976,0.1565217391304348,0.04323144104803493,0,1
25,POR,Nassir Little,UNC,5,237,3735,1313,688,170,0.452,0.33,0.735,15.8,5.5,2.9,0.7,4.7,0.061,-2.6,-0.5,2019,0.5780487804878048,3.5999999999999996,0.04,-0.10400000000000001,0.4315,0.35153949129852746,0.18420348058902275,0.04551539491298527,0.019831223628691982,0,1
26,CLE,Dylan Windler,Belmont,4,101,1090,319,212,78,0.425,0.347,0.8,10.8,3.2,2.1,0.8,1.6,0.072,-1.4,0.2,2019,0.3079268292682927,2.9000000000000004,0.038461538461538464,-0.05384615384615385,0.4313,0.2926605504587156,0.1944954128440367,0.07155963302752294,0.015841584158415842,0,0
27,BRK,Mfiondu Kabengele,Florida State,3,55,380,143,81,19,0.383,0.301,0.852,6.9,2.6,1.5,0.3,0.4,0.055,-3.6,-0.2,2019,0.22357723577235772,1.8,0.037037037037037035,-0.13333333333333333,0.3971,0.3763157894736842,0.2131578947368421,0.05,0.007272727272727273,0,0
