Feature,Importance
TRB,0.07741534774721918
BPM,0.07385245824641856
DRB,0.06465168476134883
WS,0.06430671722930754
DWS,0.03768129933859704
MP,0.03097618539982224
FTA,0.029952497869852487
PF,0.029771247979357377
WS/48,0.0291379831816878
ORB,0.028324830866433986
OBPM,0.026399442347134216
2P,0.02480990537219034
PTS,0.024652031524254762
FG%,0.024326748117989034
TS%,0.02330945079193796
FG,0.021576691788674374
USG%,0.021222166482879338
2P%,0.020557621689252892
eFG%,0.02053908729338741
FT,0.020310725791749175
FGA,0.020075151733881545
OWS,0.02000954489396209
TRB%,0.018392372995980594
DBPM,0.01741829853187323
ORB%,0.01732370852784632
STL%,0.017315421402737997
BLK,0.01583364927298174
DRB%,0.014999644309736975
2PA,0.014549885011266785
G,0.013913849358945112
AST%,0.013461268409779714
TOV%,0.011675129487939128
VORP,0.011222433630741513
FTr,0.010986919006395162
STL,0.010947762515750165
AST,0.010844013013314713
PER,0.010839439482850847
3PAr,0.010405621736972081
3PA,0.009722444780272305
TOV,0.008532085254404019
BLK%,0.008112827736449302
3P%,0.006956131109929994
FT%,0.006459780060974815
3P,0.006228493915519451
